text,label
Website tải nhanh và tìm kiếm thông tin dễ dàng.,tich_cuc
Hỗ trợ đổi trả rất nhanh gọn.,tich_cuc
Tôi cảm thấy vui và có động lực sau buổi học.,tich_cuc
Quán xử lý góp ý rất cầu thị và chuyên nghiệp.,tich_cuc
"Chuyến đi an toàn, lịch trình hợp lý.",tich_cuc
Đội dự án phối hợp hiệu quả và hoàn thành đúng hạn.,tich_cuc
"Camera nét, màu ảnh tự nhiên ngay cả ban đêm.",tich_cuc
Bàn phím gõ êm và cảm giác rất tốt.,tich_cuc
Phần mềm giúp tôi tiết kiệm rất nhiều thời gian.,tich_cuc
"Dữ liệu được trình bày khoa học, dễ tra cứu.",tich_cuc
Tôi bất ngờ vì chất lượng lại tốt đến vậy.,tich_cuc
"Đồ uống thơm, không quá ngọt, rất hợp khẩu vị.",tich_cuc
Dịch vụ chăm sóc sau bán hàng rất đáng khen.,tich_cuc
Phòng học đầy đủ thiết bị và kết nối ổn định.,tich_cuc
Giải pháp này sáng tạo và có tính khả thi cao.,tich_cuc
Tôi rất tin tưởng vào đội ngũ thực hiện.,tich_cuc
Chúc mừng nhóm đã hoàn thành một sản phẩm xuất sắc.,tich_cuc
Giao diện mới nhìn hiện đại và trực quan hơn.,tich_cuc
Mọi yêu cầu của tôi đều được giải quyết thỏa đáng.,tich_cuc
Kết quả kiểm thử cho thấy hệ thống hoạt động tốt.,tich_cuc
Đúng là lựa chọn tuyệt vời cho sinh viên.,tich_cuc
"Dùng thích lắm, mình cho năm sao.",tich_cuc
"Hàng xịn, đẹp hơn cả ảnh quảng cáo 😍",tich_cuc
Rất hài lòng với trải nghiệm lần này 👍,tich_cuc
Tuy thời gian chờ hơi lâu nhưng món ăn thực sự ngon.,tich_cuc
"Không hề thất vọng, sản phẩm rất đáng mua.",tich_cuc
Ban đầu hơi lo nhưng dùng rồi thấy cực kỳ ổn.,tich_cuc
Tôi không nghĩ dịch vụ lại nhanh và chu đáo như vậy.,tich_cuc
Sản phẩm có màu đen và dung lượng 128 GB.,trung_lap
Đơn hàng được tạo lúc chín giờ sáng.,trung_lap
Cuộc họp bắt đầu vào thứ hai tuần tới.,trung_lap
"Món ăn gồm cơm, thịt gà và rau.",trung_lap
Ứng dụng có phiên bản dành cho điện thoại.,trung_lap
Cửa hàng mở cửa từ tám giờ đến hai mươi hai giờ.,trung_lap
Tài liệu này có mười chương.,trung_lap
Giá niêm yết của sản phẩm là năm trăm nghìn đồng.,trung_lap
Lớp học có ba mươi sinh viên.,trung_lap
Hệ thống sử dụng cơ sở dữ liệu MySQL.,trung_lap
Bộ phim được phát hành vào tháng sáu.,trung_lap
Xe có hai phiên bản màu trắng và màu xanh.,trung_lap
Tôi đã nhận được email xác nhận.,trung_lap
Bài kiểm tra kéo dài sáu mươi phút.,trung_lap
Nhân viên yêu cầu tôi cung cấp mã đơn hàng.,trung_lap
Kết quả sẽ được công bố trên website.,trung_lap
Nhóm gồm năm thành viên.,trung_lap
Phiên bản hiện tại là 2.0.,trung_lap
Tệp dữ liệu có định dạng CSV.,trung_lap
Máy tính đang chạy hệ điều hành macOS.,trung_lap
Đây là lần đầu tôi sử dụng dịch vụ.,trung_lap
Sản phẩm được bảo hành trong mười hai tháng.,trung_lap
Chuyến bay dự kiến khởi hành lúc mười giờ.,trung_lap
Khách sạn nằm cách trung tâm hai ki-lô-mét.,trung_lap
Mỗi hộp có bốn sản phẩm.,trung_lap
Tôi đặt một phần ăn cỡ vừa.,trung_lap
Giảng viên đã tải bài tập lên hệ thống.,trung_lap
Đơn vị vận chuyển đã tiếp nhận kiện hàng.,trung_lap
Buổi học hôm nay nói về trí tuệ nhân tạo.,trung_lap
Máy chủ được khởi động lại vào buổi tối.,trung_lap
Tôi chọn phương thức thanh toán khi nhận hàng.,trung_lap
Mẫu báo cáo gồm ba phần chính.,trung_lap
Sự kiện có hơn một trăm người tham dự.,trung_lap
Dữ liệu được chia thành tập huấn luyện và tập kiểm tra.,trung_lap
Mô hình trả về một trong ba nhãn.,trung_lap
Tôi đang chờ cửa hàng xác nhận đơn.,trung_lap
Sản phẩm này được sản xuất tại Việt Nam.,trung_lap
Bài viết đề cập đến cả ưu điểm và nhược điểm.,trung_lap
Phòng họp nằm ở tầng ba.,trung_lap
Khóa học diễn ra trong tám tuần.,trung_lap
Tài khoản được đăng ký bằng địa chỉ email.,trung_lap
Website yêu cầu đăng nhập để xem nội dung.,trung_lap
Đội A và đội B hòa nhau với tỉ số một đều.,trung_lap
Nhiệt độ phòng hiện là hai mươi sáu độ.,trung_lap
Gói hàng bao gồm cáp sạc và sách hướng dẫn.,trung_lap
Tôi xem thông tin này trên trang chủ.,trung_lap
Hệ thống ghi nhận yêu cầu vào lúc mười hai giờ.,trung_lap
Báo cáo được lưu dưới dạng PDF.,trung_lap
Cửa hàng có hai chi nhánh trong thành phố.,trung_lap
Bài toán sử dụng thuật toán hồi quy Logistic.,trung_lap
Dữ liệu đầu vào là một chuỗi văn bản.,trung_lap
Người dùng có thể tải lên tệp CSV.,trung_lap
Tôi đã cài đặt chương trình trên máy tính.,trung_lap
Phiếu bảo hành nằm bên trong hộp.,trung_lap
Cuốn sách dày ba trăm trang.,trung_lap
Mỗi ngày có bốn chuyến xe.,trung_lap
Đơn hàng hiện ở trạng thái đang xử lý.,trung_lap
Kết quả dự đoán được hiển thị trên màn hình.,trung_lap
Hôm nay lớp chuyển sang học trực tuyến.,trung_lap
Dự án được viết bằng ngôn ngữ Python.,trung_lap
Số lượng mẫu của ba lớp bằng nhau.,trung_lap
Thời hạn nộp bài là ngày cuối tháng.,trung_lap
Tôi dùng trình duyệt để mở ứng dụng.,trung_lap
Mô hình được lưu trong thư mục models.,trung_lap
Bảng dữ liệu có hai cột text và label.,trung_lap
Phần mềm hiển thị độ tin cậy của dự đoán.,trung_lap
Cuộc khảo sát đã kết thúc vào hôm qua.,trung_lap
Có một bản cập nhật mới cho ứng dụng.,trung_lap
Nhà hàng phục vụ cả món chay và món mặn.,trung_lap
Tôi mua sản phẩm tại cửa hàng gần nhà.,trung_lap
Thông báo cho biết hệ thống sẽ bảo trì tối nay.,trung_lap
Mẫu này thuộc danh mục thiết bị điện tử.,trung_lap
"Sản phẩm quá tệ, tôi rất thất vọng.",tieu_cuc
Hàng bị lỗi ngay trong ngày đầu sử dụng.,tieu_cuc
Giao hàng chậm và đóng gói sơ sài.,tieu_cuc
"Món ăn nguội, mặn và không ngon.",tieu_cuc
Ứng dụng liên tục bị treo và mất dữ liệu.,tieu_cuc
"Dịch vụ kém, tôi sẽ không quay lại.",tieu_cuc
Bài giảng khó hiểu và thiếu ví dụ.,tieu_cuc
Tôi hoàn toàn không đồng ý với đề xuất này.,tieu_cuc
Pin tụt rất nhanh và máy thường xuyên nóng.,tieu_cuc
"Phòng bẩn, ồn và có mùi khó chịu.",tieu_cuc
"Cuốn sách nhàm chán, nội dung lặp lại.",tieu_cuc
Bộ phim dài dòng và diễn xuất gượng gạo.,tieu_cuc
"Âm thanh rè, nghe rất khó chịu.",tieu_cuc
Nhân viên trả lời thiếu lịch sự và không hỗ trợ.,tieu_cuc
Giá quá cao so với chất lượng.,tieu_cuc
Bản cập nhật mới gây ra nhiều lỗi hơn.,tieu_cuc
Kết quả này khiến tôi rất buồn.,tieu_cuc
Không gian quán chật và nóng bức.,tieu_cuc
"Sản phẩm hoạt động chập chờn, rất khó dùng.",tieu_cuc
Mình nhận hàng rồi nhưng bị vỡ mất rồi.,tieu_cuc
Đây là trải nghiệm mua sắm tồi tệ nhất của tôi.,tieu_cuc
Tốc độ xử lý chậm và thường trả về sai kết quả.,tieu_cuc
"Thầy cô hướng dẫn qua loa, sinh viên khó theo kịp.",tieu_cuc
Đồ ăn không tươi và trình bày cẩu thả.,tieu_cuc
Tôi không hài lòng với cách xử lý của đội ngũ.,tieu_cuc
Chương trình thiếu nội dung thực tế.,tieu_cuc
Mọi thứ rườm rà và không giống quảng cáo.,tieu_cuc
"Máy rất yếu, chạy ồn và nhanh nóng.",tieu_cuc
Tính năng mới làm công việc của tôi bất tiện hơn.,tieu_cuc
Bạn tư vấn hời hợt và thiếu trách nhiệm.,tieu_cuc
Đơn hàng đến muộn hơn dự kiến ba ngày.,tieu_cuc
"Màu sắc xấu, chất liệu cứng và mặc khó chịu.",tieu_cuc
Thiết kế rối mắt và rất khó thao tác.,tieu_cuc
"Hệ thống phản hồi chậm, liên tục báo lỗi.",tieu_cuc
"Bữa ăn dở, cả gia đình đều không thích.",tieu_cuc
Khóa học quá lý thuyết và khó áp dụng.,tieu_cuc
Bài làm trình bày lộn xộn và thiếu thuyết phục.,tieu_cuc
Cách phục vụ thờ ơ khiến tôi bực mình.,tieu_cuc
Mức giá này hoàn toàn không đáng tiền.,tieu_cuc
Tôi dùng một tuần và lỗi xuất hiện ngày càng nhiều.,tieu_cuc
Sự kiện tổ chức hỗn loạn và phải chờ quá lâu.,tieu_cuc
"Nhân vật nhạt nhòa, câu chuyện thiếu hấp dẫn.",tieu_cuc
Sản phẩm không giống hình và sai kích thước.,tieu_cuc
"Website tải chậm, tìm kiếm gần như không dùng được.",tieu_cuc
Thủ tục đổi trả phức tạp và mất thời gian.,tieu_cuc
Tôi cảm thấy mệt mỏi và mất động lực sau buổi học.,tieu_cuc
Quán phớt lờ góp ý của khách hàng.,tieu_cuc
Chuyến đi trễ giờ và lịch trình thiếu hợp lý.,tieu_cuc
Đội dự án phối hợp kém và trễ thời hạn.,tieu_cuc
"Camera mờ, màu ảnh sai và chụp tối rất tệ.",tieu_cuc
Bàn phím kẹt phím và gõ rất khó chịu.,tieu_cuc
Phần mềm làm tôi mất nhiều thời gian hơn.,tieu_cuc
"Dữ liệu trình bày lộn xộn, rất khó tra cứu.",tieu_cuc
Tôi thất vọng vì chất lượng quá kém.,tieu_cuc
"Đồ uống nhạt, quá ngọt và có mùi lạ.",tieu_cuc
Dịch vụ sau bán hàng không giải quyết vấn đề.,tieu_cuc
"Phòng học thiếu thiết bị, mạng liên tục bị ngắt.",tieu_cuc
Giải pháp này thiếu thực tế và khó triển khai.,tieu_cuc
Tôi không còn tin tưởng vào đội ngũ thực hiện.,tieu_cuc
Nhóm chưa hoàn thành các yêu cầu cơ bản.,tieu_cuc
Giao diện mới xấu và khó sử dụng hơn trước.,tieu_cuc
Yêu cầu của tôi vẫn chưa được giải quyết.,tieu_cuc
Kết quả kiểm thử cho thấy hệ thống có nhiều lỗi nghiêm trọng.,tieu_cuc
Đây là lựa chọn không phù hợp cho sinh viên.,tieu_cuc
"Dùng chán lắm, mình chỉ cho một sao.",tieu_cuc
"Hàng giả, chất lượng kém hơn ảnh quảng cáo 👎",tieu_cuc
Cực kỳ thất vọng với trải nghiệm lần này 😡,tieu_cuc
Tuy hình thức đẹp nhưng chất lượng bên trong rất tệ.,tieu_cuc
"Không hề hài lòng, tôi sẽ yêu cầu hoàn tiền.",tieu_cuc
Ban đầu thấy ổn nhưng dùng lâu thì lỗi liên tục.,tieu_cuc
Tôi không nghĩ dịch vụ lại chậm và thiếu chuyên nghiệp như vậy.,tieu_cuc
"Trải nghiệm quá tồi, tôi không thể giới thiệu cho người khác.",tieu_cuc
